"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"100183","CORAL GABLES HOSPITAL","3100 DOUGLAS RD","","","CORAL GABLES","FL","33134","MIAMI-DADE","3054458461","100","246","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","233","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","247","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","324","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","324","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","154","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","106","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","445","","99","445","","100","350","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100187","PALMETTO GENERAL HOSPITAL","2001 W 68TH ST","","","HIALEAH","FL","33016","MIAMI-DADE","3058235000","100","471","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","460","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","472","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","369","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","370","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","171","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","200","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","265","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","483","","97","483","","100","496","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100189","NORTHWEST MEDICAL CENTER","2801 N STATE RD 7","","","MARGATE","FL","33063","BROWARD","9549740400","100","215","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","205","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","218","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","262","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","262","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","79","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","176","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","168","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","210","","100","210","","100","350","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100191","MEDICAL CENTER OF TRINITY","9330 SR 54","","","TRINITY","FL","34655","PASCO","7278481733","99","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","256","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","413","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","413","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","182","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","173","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","159","","99","159","","100","490","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100200","BROWARD HEALTH IMPERIAL POINT","6401 N FEDERAL HWY","","","FORT LAUDERDALE","FL","33308","BROWARD","9547768500","100","259","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","249","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","259","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","380","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","380","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","131","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","113","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","171","","100","171","","100","416","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100204","NORTH FLORIDA REGIONAL MEDICAL CENTER","6500 NEWBERRY RD","","","GAINESVILLE","FL","32605","ALACHUA","3523334100","100","570","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","558","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","580","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","569","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","569","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","140","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","498","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","291","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","968","","99","968","","100","729","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100206","MEMORIAL HOSPITAL OF TAMPA","2901 SWANN AVE","","","TAMPA","FL","33609","HILLSBOROUGH","8138736400","96","114","","95","113","","93","114","","95","201","","98","201","","Not Available","0","","99","162","","92","59","","100","26","","93","27","","100","231",""
"100209","KENDALL REGIONAL MEDICAL CENTER","11750 BIRD RD","","","MIAMI","FL","33175","MIAMI-DADE","3052233000","100","408","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","392","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","410","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","520","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","520","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","68","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","226","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","255","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","144","","99","144","","100","621","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100211","PASCO REGIONAL MEDICAL CENTER","13100 FT KING ROAD","","","DADE CITY","FL","33525","PASCO","3525683174","98","118","","99","111","","99","121","","99","192","","100","192","","Not Available","0","","98","129","","97","59","","99","256","","99","255","","100","244",""
"100212","OCALA REGIONAL MEDICAL CENTER","1431 SW 1ST AVE","","","OCALA","FL","34478","MARION","3524011000","99","476","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","432","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","478","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","475","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","477","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","448","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","290","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","200","","97","199","","100","617","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100213","BLAKE MEDICAL CENTER","2020 59TH ST W","","","BRADENTON","FL","34209","MANATEE","9417926611","100","463","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","441","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","469","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","439","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","439","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","163","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","381","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","257","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","260","","98","256","","100","501","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100217","SEBASTIAN RIVER MEDICAL CENTER","13695 US HWY 1","","","SEBASTIAN","FL","32978","INDIAN RIVER","7725893187","100","207","","100","202","","100","206","","100","298","","100","298","","Not Available","0","","100","212","","100","127","","100","62","","100","62","","100","397",""
"100220","GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","13681 DOCTOR'S WAY","","","FORT MYERS","FL","33912","LEE","2397685000","95","458","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","445","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","459","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","408","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","408","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","95","The hospital indicated that the data submitted for this measure were based on a sample of cases","83","227","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","297","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","370","","96","364","","100","591","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100223","FORT WALTON BEACH MEDICAL CENTER","1000 MAR-WALT DR","","","FORT WALTON BEACH","FL","32547","OKALOOSA","8508621111","100","384","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","345","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","385","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","387","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","387","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","100","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","272","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","164","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","171","","98","171","","100","576","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100224","UNIVERSITY HOSPITAL AND MEDICAL CENTER","7201 N UNIVERSITY DR","","","TAMARAC","FL","33321","BROWARD","9547212200","100","241","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","241","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","243","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","335","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","335","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","236","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","126","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","74","","99","74","","100","370","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100226","ORANGE PARK MEDICAL CENTER","2001 KINGSLEY AVE","","","ORANGE PARK","FL","32073","CLAY","9042768500","100","339","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","310","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","346","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","379","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","379","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","71","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","195","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","214","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","378","","97","375","","100","493","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100228","WESTSIDE REGIONAL MEDICAL CENTER","8201 W BROWARD BLVD","","","PLANTATION","FL","33324","BROWARD","9544736600","100","353","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","346","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","360","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","412","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","412","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","88","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","185","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","222","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","227","","100","225","","100","549","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100230","MEMORIAL HOSPITAL PEMBROKE","7800 SHERIDAN ST","","","PEMBROKE PINES","FL","33024","BROWARD","9549629650","100","198","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","186","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","199","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","257","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","257","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","97","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","88","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","146","","100","146","","100","342","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100231","WEST FLORIDA HOSPITAL","8383 N DAVIS HWY","","","PENSACOLA","FL","32514","ESCAMBIA","8504944000","99","416","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","392","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","419","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","413","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","413","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","123","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","240","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","379","","98","375","","100","515","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100232","PUTNAM COMMUNITY MEDICAL CENTER","611 ZEAGLER DR","","","PALATKA","FL","32177","PUTNAM","3863268500","96","127","","99","126","","98","128","","97","152","","97","153","","Not Available","0","","84","51","","100","18","The number of cases is too small to reliably tell how well a hospital is performing","98","86","","98","85","","100","229",""
"100234","WEST PALM HOSPITAL","2201 45TH ST","","","WEST PALM BEACH","FL","33407","PALM BEACH","5618446141","100","122","","100","105","","99","122","","99","202","","99","202","","Not Available","0","","99","108","","100","60","","100","41","","95","41","","100","217",""
"100236","FAWCETT MEMORIAL HOSPITAL","21298 OLEAN BLVD","","","PORT CHARLOTTE","FL","33952","CHARLOTTE","9416291181","100","311","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","294","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","312","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","434","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","434","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","307","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","185","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","437","","99","437","","100","507","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100238","NORTHSIDE HOSPITAL","6000 49TH STREET N","","","SAINT PETERSBURG","FL","33709","PINELLAS","8135215000","99","232","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","212","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","238","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","231","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","232","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","134","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","257","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","231","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","144","","100","143","","100","318","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100239","EDWARD WHITE HOSPITAL","2323 9TH AVE N","","","SAINT PETERSBURG","FL","33713","PINELLAS","7273231111","99","115","","99","107","","100","115","","99","173","","99","173","","Not Available","0","","94","127","","100","47","","98","41","","100","41","","100","188",""
"100240","ANNE BATES LEACH EYE HOSPITAL","900 NW 17TH ST","","","MIAMI","FL","33136","MIAMI-DADE","3053266000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"100242","GULF COAST MEDICAL CENTER","449 W 23RD ST","","","PANAMA CITY","FL","32405","BAY","8507477926","100","302","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","238","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","308","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","408","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","408","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","292","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","179","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","350","","99","350","","100","549","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100243","BRANDON REGIONAL HOSPITAL","119 OAKFIELD DR","","","BRANDON","FL","33511","HILLSBOROUGH","8136815551","99","459","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","444","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","462","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","451","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","451","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","140","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","313","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","252","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","585","","98","585","","100","591","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100244","CAPE CORAL HOSPITAL","636 DEL PRADO BLVD","","","CAPE CORAL","FL","33990","LEE","2395742323","98","305","The hospital indicated that the data submitted for this measure were based on a sample of cases","87","296","The hospital indicated that the data submitted for this measure were based on a sample of cases","87","310","The hospital indicated that the data submitted for this measure were based on a sample of cases","85","420","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","421","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","65","166","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","162","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","301","","98","299","","99","537","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100246","LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","1700 S 23RD ST","","","FORT PIERCE","FL","34950","SAINT LUCIE","7724614000","100","493","","100","461","","100","503","","100","586","","100","586","","99","202","","100","394","","100","405","","99","222","","100","220","","100","697",""
"100248","LARGO MEDICAL CENTER","201 14TH ST SW","","","LARGO","FL","33770","PINELLAS","7275885200","99","377","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","340","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","383","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","365","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","365","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","250","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","255","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","324","","100","323","","100","503","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100249","SEVEN RIVERS REGIONAL MEDICAL CENTER","6201 N SUNCOAST BLVD","","","CRYSTAL RIVER","FL","34428","CITRUS","3527956560","98","593","","99","587","","98","595","","97","685","","99","686","","Not Available","0","","95","613","","98","239","","98","128","","94","126","","100","774",""
"100252","RAULERSON HOSPITAL","1796 HWY 441 NORTH","","","OKEECHOBEE","FL","34972","OKEECHOBEE","8637632151","100","50","","100","45","","100","50","","100","116","","100","116","","Not Available","0","","100","34","","100","44","","100","102","","100","102","","100","132",""
"100253","JUPITER MEDICAL CENTER","1210 S OLD DIXIE HWY","","","JUPITER","FL","33458","PALM BEACH","5617472234","100","356","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","347","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","357","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","513","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","513","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","314","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","177","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","197","","96","198","","100","581","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100254","CAPITAL REGIONAL MEDICAL CENTER","2626 CAPITAL MEDICAL BLVD","","","TALLAHASSEE","FL","32308","LEON","8506565000","100","400","","100","394","","98","406","","98","531","","99","531","","100","37","","100","296","","100","115","","100","351","","97","351","","100","641",""
"100255","TOWN & COUNTRY HOSPITAL","6001 WEBB RD","","","TAMPA","FL","33615","HILLSBOROUGH","8138827159","100","107","","94","101","","100","107","","94","197","","97","198","","Not Available","0","","93","123","","98","56","","94","52","","100","53","","100","231",""
"100256","REGIONAL MEDICAL CENTER BAYONET POINT","14000 FIVAY ROAD","","","HUDSON","FL","34667","PASCO","7278192929","99","380","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","332","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","387","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","394","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","394","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","161","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","336","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","298","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","304","","100","304","","100","454","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100258","DELRAY MEDICAL CENTER","5352 LINTON BLVD","","","DELRAY BEACH","FL","33484","PALM BEACH","5614984440","100","979","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","944","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","992","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","887","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","887","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","220","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","593","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","518","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","494","","99","494","","100","1016","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100259","SOUTH BAY HOSPITAL","4016 SUN CITY CENTER BLVD","","","SUN CITY CENTER","FL","33573","HILLSBOROUGH","8136343301","98","197","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","179","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","199","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","337","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","337","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","274","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","120","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","105","","97","105","","100","364","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100260","ST LUCIE MEDICAL CENTER","1800 SE TIFFANY AVE","","","PORT SAINT LUCIE","FL","34952","SAINT LUCIE","7723354000","100","363","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","327","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","366","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","447","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","447","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","212","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","170","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","124","","100","124","","100","553","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100264","OAK HILL HOSPITAL","11375 CORTEZ BLVD","","","BROOKSVILLE","FL","34613","HERNANDO","3525966632","100","305","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","284","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","306","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","426","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","426","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","118","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","379","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","323","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","118","","100","118","","100","515","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100265","MEASE COUNTRYSIDE HOSPITAL","3231 MCMULLEN BOOTH RD","","","SAFETY HARBOR","FL","34695","PINELLAS","7277346950","99","426","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","412","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","430","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","482","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","482","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","437","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","197","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","459","","99","458","","100","612","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100266","GULF BREEZE HOSPITAL","1110 GULF BREEZE PKWY","","","GULF BREEZE","FL","32561","SANTA ROSA","8509342000","100","396","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","395","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","398","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","429","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","430","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","367","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","155","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","101","","96","101","","100","539","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100267","ENGLEWOOD COMMUNITY HOSPITAL","700 MEDICAL BLVD","","","ENGLEWOOD","FL","34223","SARASOTA","9414756571","100","106","","99","99","","98","106","","100","138","","100","138","","Not Available","0","","99","84","","100","38","","100","31","","97","31","","100","152",""
"100268","WEST BOCA MEDICAL CENTER","21644 STATE RD 7","","","BOCA RATON","FL","33428","PALM BEACH","5614888000","99","201","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","191","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","297","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","298","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","163","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","68","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","264","","100","263","","100","352","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100269","PALMS WEST HOSPITAL","13001 SOUTHERN BLVD","","","LOXAHATCHEE","FL","33470","PALM BEACH","5617534245","99","242","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","216","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","242","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","354","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","354","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","160","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","86","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","230","","99","230","","100","405","The hospital indicated that the data submitted for this measure were based on a sample of cases"
