"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"160016","TRINITY REGIONAL MEDICAL CENTER","802 KENYON RD","","","FORT DODGE","IA","50501","WEBSTER","5155738710","99","179","","97","39","","91","140",""
"140048","ADVOCATE TRINITY HOSPITAL","2320 E 93RD ST","","","CHICAGO","IL","60617","COOK","7739672000","100","424","","97","148","","96","372",""
"131302","NORTH CANYON MEDICAL CENTER","267 NORTH CANYON DR","","","GOODING","ID","83330","GOODING","2089344433","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"100248","LARGO MEDICAL CENTER","201 14TH ST SW","","","LARGO","FL","33770","PINELLAS","7275885200","100","399","","100","122","","94","301",""
"431323","CUSTER REGIONAL HOSPITAL - CRITICAL ACCESS HOSP","1039 MONTGOMERY STREET","","","CUSTER","SD","57730","CUSTER","6056732229","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"390204","NAZARETH HOSPITAL","2601 HOLME AVE","","","PHILADELPHIA","PA","19152","PHILADELPHIA","2153356000","99","440","","99","68","","94","239",""
"050769","HOAG ORTHOPEDIC INSTITUTE","16250 SAND CANYON AVENUE","","","IRVINE","CA","92618","ORANGE","9497275000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"520193","AURORA BAYCARE MED CTR","2845 GREENBRIER RD PO BOX 8900","","","GREEN BAY","WI","54311","BROWN","9202888000","100","120","","100","29","","91","102",""
"521331","BURNETT MED CTR","257 W ST GEORGE AVE","","","GRANTSBURG","WI","54840","BURNETT","7154635353","75","20","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","81","16","The number of cases is too small to reliably tell how well a hospital is performing"
"521353","CUMBERLAND MEMORIAL HOSPITAL","1110 7TH AVENUE","","","CUMBERLAND","WI","54829","BARRON","7158222741","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"400123","HOSPITAL PEREA","15 DR BASORA STREET","","","MAYAGUEZ","PR","00681","MAYAGUEZ","7878340101","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"210056","MEDSTAR GOOD SAMARITAN HOSPITAL","5601 LOCH RAVEN BLVD","","","BALTIMORE","MD","21239","BALTIMORE CITY","4434443902","98","785","","95","216","","92","579",""
"250004","NORTH MISSISSIPPI MEDICAL CENTER","830 S GLOSTER","","","TUPELO","MS","38801","LEE","6623777176","100","562","","100","211","","96","473",""
"360006","RIVERSIDE METHODIST HOSPITAL","3535 OLENTANGY RIVER RD","","","COLUMBUS","OH","43214","FRANKLIN","6145665000","100","730","","100","235","","100","547",""
"181323","OHIO COUNTY HOSPITAL","1211 OLD MAIN STREET","","","HARTFORD","KY","42347","OHIO","2702987411","80","30","The hospital indicated that the data submitted for this measure were based on a sample of cases","58","12","The number of cases is too small to reliably tell how well a hospital is performing","47","19","The number of cases is too small to reliably tell how well a hospital is performing"
"181310","CARROLL COUNTY MEMORIAL HOSPITAL","309 ELEVENTH STREET","","","CARROLLTON","KY","41008","CARROLL","5027324321","91","46","","71","14","The number of cases is too small to reliably tell how well a hospital is performing","86","29",""
"100054","TWIN CITIES HOSPITAL","2190 HWY 85 N","","","NICEVILLE","FL","32578","OKALOOSA","8506784131","100","50","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","94","34",""
"250078","FORREST GENERAL HOSPITAL","6051 US HIGHWAY 49","","","HATTIESBURG","MS","39404","FORREST","6012887000","100","628","","100","191","","98","519",""
"260104","SSM DEPAUL HEALTH CENTER","12303 DEPAUL DRIVE","","","BRIDGETON","MO","63044","SAINT LOUIS","3143446000","100","308","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","101","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","233","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"310057","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","175 MADISON AVE","","","MOUNT HOLLY","NJ","08060","BURLINGTON","6099146200","100","512","","97","77","","89","360",""
"520116","UW HLTH PARTNERS - WATERTOWN REGIONAL MEDICAL CTR","125 HOSPITAL DR","","","WATERTOWN","WI","53098","DODGE","9202614210","97","31","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","74","23","The number of cases is too small to reliably tell how well a hospital is performing"
"100088","BAPTIST MEDICAL CENTER","800 PRUDENTIAL DR","","","JACKSONVILLE","FL","32207","DUVAL","9042022000","98","325","The hospital indicated that the data submitted for this measure were based on a sample of cases","87","107","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","272","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"180044","PIKEVILLE MEDICAL CENTER","911 BYPASS ROAD","","","PIKEVILLE","KY","41501","PIKE","6062183500","100","314","","98","57","","99","278",""
"100236","FAWCETT MEMORIAL HOSPITAL","21298 OLEAN BLVD","","","PORT CHARLOTTE","FL","33952","CHARLOTTE","9416291181","100","361","","100","105","","100","289",""
"241380","ST JOSEPHS AREA  HEALTH SERVICES","600 PLEASANT AVENUE","","","PARK RAPIDS","MN","56470","HUBBARD","2187323311","100","20","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","11","The number of cases is too small to reliably tell how well a hospital is performing"
"110112","BERRIEN COUNTY HOSPITAL","1221 EAST MCPHERSON STREET","","","NASHVILLE","GA","31639","BERRIEN","2295437100","95","19","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"241344","LIFECARE MEDICAL CENTER","715 DELMORE DRIVE","","","ROSEAU","MN","56751","ROSEAU","2184632500","90","21","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","69","13","The number of cases is too small to reliably tell how well a hospital is performing"
"450451","GLEN ROSE MEDICAL CENTER","1021 HOLDEN STREET","","","GLEN ROSE","TX","76043","SOMERVELL","2548972215","97","31","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","64","22","The number of cases is too small to reliably tell how well a hospital is performing"
"521313","SACRED HEART HSPTL","401 W MOHAWK DR STE 100","","","TOMAHAWK","WI","54487","LINCOLN","7154537700","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"510048","LOGAN REGIONAL MEDICAL CENTER","20 HOSPITAL DRIVE","","","LOGAN","WV","25601","LOGAN","3048311350","100","285","","100","36","","100","246",""
"161307","HANCOCK COUNTY MEMORIAL HOSPITAL","532 1ST ST NW","","","BRITT","IA","50423","HANCOCK","6418435000","94","18","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"090006","PROVIDENCE HOSPITAL","1150 VARNUM ST NE","","","WASHINGTON","DC","20017","DISTRICT OF COLUMBIA","2022697000","96","522","","84","227","","82","426",""
"240069","OWATONNA HOSPITAL","2250 26TH STREET NORTHWEST","","","OWATONNA","MN","55060","STEELE","5074513850","100","64","","100","12","The number of cases is too small to reliably tell how well a hospital is performing","97","37",""
"151310","WABASH COUNTY HOSPITAL","710 N EAST ST","","","WABASH","IN","46992","WABASH","2605633131","100","17","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","93","14","The number of cases is too small to reliably tell how well a hospital is performing"
"450537","METHODIST RICHARDSON MEDICAL CENTER","401 W CAMPBELL RD","","","RICHARDSON","TX","75080","DALLAS","9724984000","100","121","","100","38","","93","83",""
"140010","EVANSTON HOSPITAL","2650 RIDGE AVE","","","EVANSTON","IL","60201","COOK","8474328000","100","867","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","213","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","599","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"491305","SHENANDOAH MEMORIAL HOSPITAL","759 SOUTH MAIN STREET","","","WOODSTOCK","VA","22664","SHENANDOAH","5404591100","100","43","","100","12","The number of cases is too small to reliably tell how well a hospital is performing","97","38",""
"390194","GNADEN HUETTEN MEMORIAL HOSPITAL","211 NORTH 12TH STREET","","","LEHIGHTON","PA","18235","CARBON","6073771300","98","128","","91","33","","100","103",""
"210008","MERCY MEDICAL CENTER INC","301 ST PAUL PLACE","","","BALTIMORE","MD","21202","BALTIMORE CITY","4103329237","100","293","","93","133","","95","250",""
"291301","INCLINE VILLAGE HEALTH CENTER","880 ALDER STREET","","","INCLINE VILLAGE","NV","89451","WASHOE","7758334100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450154","VAL VERDE REGIONAL MEDICAL CENTER","801 BEDELL AVE","","","DEL RIO","TX","78840","VAL VERDE","8307758566","99","106","","86","29","","98","93",""
"100315","VIERA HOSPITAL","8745 N WICKHAM RD","","","VIERA","FL","32940","BREVARD","3214349000","100","23","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","95","20","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"180064","SAINT JOSEPH MOUNT STERLING","225 FALCON DRIVE","","","MOUNT STERLING","KY","40353","MONTGOMERY","8594981220","95","57","","100","11","The number of cases is too small to reliably tell how well a hospital is performing","75","44",""
"380021","TUALITY COMMUNITY HOSPITAL","335 SE 8TH AVENUE","","","HILLSBORO","OR","97123","WASHINGTON","5036811111","99","141","","100","30","","92","119",""
"190102","OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC","4801 AMBASSADOR CAFFERY PARKWAY","","","LAFAYETTE","LA","70508","LAFAYETTE","3374702000","98","268","","96","73","","91","217",""
"381302","SAMARITAN NORTH LINCOLN HOSPITAL","3043 NE 28TH STREET","","","LINCOLN CITY","OR","97367","LINCOLN","5419943661","81","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","85","26",""
"44013F","MEMPHIS VA MEDICAL CENTER","1030 JEFFERSON AVENUE","","","MEMPHIS                       ","TN","38104","SHELBY","9015777200","100","241","","98","98","","100","225",""
"341327","J ARTHUR DOSHER MEMORIAL HOSPITAL","924 HOWE ST","","","SOUTHPORT","NC","28461","BRUNSWICK","9104573800","100","29","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","50","24","The number of cases is too small to reliably tell how well a hospital is performing"
"271334","LIBERTY COUNTY HOSPITAL","315 W MADISON AVE","","","CHESTER","MT","59522","LIBERTY","4067595181","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"521352","UPLAND HILLS HLTH","800 COMPASSION WAY","","","DODGEVILLE","WI","53533","IOWA","6089308000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"241317","COOK COUNTY NORTHSHORE HOSPITAL","515 5TH AVE WEST","","","GRAND MARAIS","MN","55604","COOK","2183873040","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"501313","CASCADE MEDICAL CENTER","817 COMMERCIAL STREET","","","LEAVENWORTH","WA","98826","CHELAN","5095485815","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"330404","WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL","785 MAMARONECK AVENUE","","","WHITE PLAINS","NY","10605","WESTCHESTER","9145972232","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450847","MEMORIAL HERMANN KATY HOSPITAL","23900 KATY FREEWAY","","","KATY","TX","77494","HARRIS","2813921111","100","165","","100","63","","100","123",""
"450438","COLORADO FAYETTE MEDICAL CENTER","400 YOUENS DRIVE","","","WEIMAR","TX","78962","COLORADO","9797259531","76","50","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","52","21","The number of cases is too small to reliably tell how well a hospital is performing"
"151319","GIBSON GENERAL HOSPITAL","1808 SHERMAN DR","","","PRINCETON","IN","47670","GIBSON","8123853401","100","15","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"100234","WEST PALM HOSPITAL","2201 45TH ST","","","WEST PALM BEACH","FL","33407","PALM BEACH","5618446141","100","159","","100","33","","100","109",""
"390070","LOWER BUCKS HOSPITAL","501 BATH ROAD","","","BRISTOL","PA","19007","BUCKS","2157859200","94","218","","82","87","","74","186",""
"440049","METHODIST HEALTHCARE MEMPHIS HOSPITALS","1265 UNION AVE SUITE 700","","","MEMPHIS","TN","38104","SHELBY","9015168274","100","951","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","369","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","837","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450330","OAKBEND MEDICAL CENTER","1705 JACKSON ST","","","RICHMOND","TX","77469","FORT BEND","2813413000","99","160","","99","67","","98","110",""
"440056","TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL","110 HOSPITAL DRIVE","","","JEFFERSON CITY","TN","37760","JEFFERSON","8654712500","99","141","","97","37","","87","113",""
"421302","FAIRFIELD MEMORIAL HOSPITAL","321 BYPASS PO BOX 620","","","WINNSBORO","SC","29180","FAIRFIELD","8036350233","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"250094","WESLEY MEDICAL CENTER","5001 W HARDY ST","","","HATTIESBURG","MS","39402","FORREST","6012688000","100","198","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","85","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","166","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"260061","NEVADA REGIONAL MEDICAL CENTER","800 S ASH ST","","","NEVADA","MO","64772","VERNON","4176673355","94","31","","100","13","The number of cases is too small to reliably tell how well a hospital is performing","67","21","The number of cases is too small to reliably tell how well a hospital is performing"
"400105","HOSPITAL UNIVERSITARIO DR RUIZ ARNAU","LAUREL AVE SANTA JUANITA #100","","","BAYAMON","PR","00956","BAYAMON","7877875151","100","62","","100","26","","81","48",""
"180116","JACKSON PURCHASE MEDICAL CENTER","1099 MEDICAL CENTER CIRCLE","","","MAYFIELD","KY","42066","GRAVES","2702514500","100","106","","89","27","","94","63",""
"140080","RHC ST FRANCIS HOSPITAL","355 RIDGE AVE","","","EVANSTON","IL","60202","COOK","8473164000","100","268","","97","68","","99","196",""
"451341","HASKELL MEMORIAL HOSPITAL","1 NORTH AVENUE N  PO BOX 1117","","","HASKELL","TX","79521","HASKELL","9408642621","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230118","HURON MEDICAL CENTER","1100 SOUTH VAN DYKE ROAD","","","BAD AXE","MI","48413","HURON","9892699521","95","38","","100","11","The number of cases is too small to reliably tell how well a hospital is performing","100","32",""
"110034","MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS","1120 15TH STREET","","","AUGUSTA","GA","30912","RICHMOND","7067216569","100","259","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","152","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","239","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"360035","MOUNT CARMEL WEST","793 WEST STATE STREET","","","COLUMBUS","OH","43222","FRANKLIN","6142345000","100","670","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","185","The hospital indicated that the data submitted for this measure were based on a sample of cases","83","543","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"400109","HOSPITAL HIMA-SAN PABLO BAYAMON","CALLE SANTA CRUZ NUMERO 70  URB SANTA CRUZ","","","BAYAMON","PR","00960","BAYAMON","7876204747","100","297","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","135","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","292","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"420091","CAROLINAS HOSPITAL SYSTEM","805 PAMPLICO HWY BOX 100550","","","FLORENCE","SC","29505","FLORENCE","8436742500","100","496","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","162","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","429","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"490116","LEWISGALE HOSPITAL PULASKI","2400 LEE HIGHWAY","","","PULASKI","VA","24301","PULASKI","5409948300","100","119","","91","44","","98","87",""
"241346","MAYO CLINIC HEALTH SYSTEM - CANNON FALLS","1116 WEST MILL STREET","","","CANNON FALLS","MN","55009","GOODHUE","5072634221","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"450399","BROWNFIELD REGIONAL MEDICAL CENTER","705 EAST FELT STREET","","","BROWNFIELD","TX","79316","TERRY","8066373551","68","19","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","6","17","The number of cases is too small to reliably tell how well a hospital is performing"
"380102","SACRED HEART MEDICAL CENTER - RIVERBEND","3333 RIVERBEND DRIVE","","","SPRINGFIELD","OR","97477","LANE","5412227300","100","393","","100","118","","90","318",""
"201308","HOULTON REGIONAL HOSPITAL","20 HARTFORD STREET","","","HOULTON","ME","04730","AROOSTOOK","2075322900","97","60","","100","11","The number of cases is too small to reliably tell how well a hospital is performing","90","29",""
"250095","SOUTH SUNFLOWER COUNTY HOSPITAL","121 E BAKER ST","","","INDIANOLA","MS","38751","SUNFLOWER","6628875235","78","60","","65","23","The number of cases is too small to reliably tell how well a hospital is performing","60","48",""
"180025","FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H","4305 NEW SHEPHERDSVILLE ROAD","","","BARDSTOWN","KY","40004","NELSON","5023505000","100","65","","100","16","The number of cases is too small to reliably tell how well a hospital is performing","87","46",""
"330141","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","101 HOSPITAL ROAD","","","PATCHOGUE","NY","11772","SUFFOLK","6316547100","100","402","","94","94","","87","284",""
"33017F","VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.","423 EAST 23RD STREET","","","NEW YORK                      ","NY","10010","NEW YORK","2126867500","100","271","","94","113","","98","251",""
"390110","CONEMAUGH VALLEY MEMORIAL HOSPITAL","1086 FRANKLIN STREET","","","JOHNSTOWN","PA","15905","CAMBRIA","8145349000","99","692","","85","148","","81","524",""
"340061","UNIVERSITY OF NORTH CAROLINA HOSPITAL","101 MANNING DRIVE","","","CHAPEL HILL","NC","27514","ORANGE","9199664131","100","342","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","146","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","301","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"370083","PUSHMATAHA CTY-TN OF ANTLERS HOSP AUTH","510 EAST MAIN STREET","","","ANTLERS","OK","74523","PUSHMATAHA","5802983341","100","24","The number of cases is too small to reliably tell how well a hospital is performing","91","11","The number of cases is too small to reliably tell how well a hospital is performing","100","17","The number of cases is too small to reliably tell how well a hospital is performing"
"110124","WAYNE MEMORIAL HOSPITAL","865 SOUTH FIRST STREET","","","JESUP","GA","31545","WAYNE","9125303302","98","132","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","40","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","116","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340016","MEDWEST HARRIS","68 HOSPITAL RD","","","SYLVA","NC","28779","JACKSON","8285867000","98","44","","93","15","The number of cases is too small to reliably tell how well a hospital is performing","94","32",""
"191321","LALLIE KEMP MEDICAL CENTER","52579 HIGHWAY 21 SOUTH","","","INDEPENDENCE","LA","70443","TANGIPAHOA","9858789421","100","39","","94","17","The number of cases is too small to reliably tell how well a hospital is performing","97","39",""
"140034","ST MARYS HOSPITAL","400 NORTH PLEASANT AVENUE","","","CENTRALIA","IL","62801","MARION","6184368000","99","176","","97","30","","100","141",""
"060020","PARKVIEW MEDICAL CENTER INC","400 W 16TH STREET","","","PUEBLO","CO","81003","PUEBLO","7195844000","100","197","","97","67","","100","162",""
"161339","WAVERLY HEALTH CENTER","312  9TH STREET SW","","","WAVERLY","IA","50677","BREMER","3193524120","83","29","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","14","The number of cases is too small to reliably tell how well a hospital is performing"
"510031","ST FRANCIS HOSPITAL","333 LAIDLEY ST","","","CHARLESTON","WV","25301","KANAWHA","3043476500","99","113","","93","41","","97","92",""
"490114","WELLMONT LONESOME PINE HOSPITAL","1990 HOLTON AVENUE EAST","","","BIG STONE GAP","VA","24219","WISE","2765233111","100","66","","89","18","The number of cases is too small to reliably tell how well a hospital is performing","94","54",""
"210006","HARFORD MEMORIAL HOSPITAL","501 S UNION AVE","","","HAVRE DE GRACE","MD","21078","HARFORD","4436433303","100","170","","100","41","","97","146",""
"340129","LAKE NORMAN REGIONAL MEDICAL CENTER","171 FAIRVIEW ROAD","","","MOORESVILLE","NC","28117","IREDELL","7046604000","100","148","","100","31","","97","109",""
"230047","HENRY FORD MACOMB HOSPITAL","15855 NINETEEN MILE RD","","","CLINTON TOWNSHIP","MI","48038","MACOMB","5862632300","100","469","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","104","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","363","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340027","LENOIR MEMORIAL HOSPITAL","100 AIRPORT RD","","","KINSTON","NC","28501","LENOIR","2525227000","98","342","","95","84","","82","296",""
"260193","ST MARY'S MEDICAL CENTER","201 NW R D MIZE RD","","","BLUE SPRINGS","MO","64014","JACKSON","8162285900","100","95","","96","26","","92","76",""
"080001","CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD","","","NEWARK","DE","19718","NEW CASTLE","3027331000","100","822","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","299","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","665","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"05031F","PALO ALTO VA MEDICAL CENTER","3801 MIRANDA AVENUE","","","PALO ALTO                     ","CA","94304","SANTA CLARA","6508583939","100","212","","100","82","","97","184",""
"400016","AUXILIO MUTUO HOSPITAL","PONCE DE LEON AVENUE STOP 36 1/2 #735","","","HATO REY","PR","00918","SAN JUAN","7877582000","89","394","","69","115","","47","388",""
"170175","WESTERN PLAINS MEDICAL COMPLEX","3001 AVENUE A","","","DODGE CITY","KS","67801","FORD","6202258400","100","57","","100","16","The number of cases is too small to reliably tell how well a hospital is performing","100","40",""
"360262","MERCY ST ANNE HOSPITAL","3404 SYLVANIA AVENUE","","","TOLEDO","OH","43623","LUCAS","4194072663","100","152","","91","43","","99","114",""
"330316","NEW YORK WESTCHESTER SQUARE MEDICAL CENTER","2475 ST RAYMOND AVENUE","","","BRONX","NY","10461","BRONX","7184307300","97","274","","83","59","","78","161",""
"141334","ST JOSEPH MEMORIAL HOSPITAL","2 SOUTH HOSPITAL DRIVE","","","MURPHYSBORO","IL","62966","JACKSON","6186843156","100","22","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","73","15","The number of cases is too small to reliably tell how well a hospital is performing"
"100028","PARRISH MEDICAL CENTER","951 N WASHINGTON AVE","","","TITUSVILLE","FL","32796","BREVARD","3212686111","100","230","","100","87","","99","181",""
"170016","ST FRANCIS HEALTH CENTER INC","1700 SW 7TH STREET","","","TOPEKA","KS","66606","SHAWNEE","7852958000","99","199","","98","88","","92","157",""
"110006","ST MARY'S HOSPITAL","1230 BAXTER STREET","","","ATHENS","GA","30606","CLARKE","7063893930","100","186","","97","66","","91","173",""
"100132","SOUTH FLORIDA BAPTIST HOSPITAL","301 N ALEXANDER ST","","","PLANT CITY","FL","33563","HILLSBOROUGH","8137571200","100","219","","100","55","","97","184",""
"490089","CARILION FRANKLIN MEMORIAL HOSPITAL","180 FLOYD AVENUE","","","ROCKY MOUNT","VA","24151","FRANKLIN","5404835277","98","61","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","95","56",""
