"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Attack Patients Given Aspirin at Discharge","Number of Patients 2","Footnote 2","Percent of Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Number of Patients 6","Footnote 6","Percent of Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Number of Patients 7","Footnote 7","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG","Number of Patients 8","Footnote 8","Average number of minutes before outpatients with chest pain or possible heart attack  were transferred to another hospital","Number of Patients 9","Footnote 9","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival","Number of Patients 11","Footnote 11","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival","Number of Patients 12","Footnote 12","Heart Attack Patients Given a Prescription for a Statin at Discharge","Number of Patients 13","Footnote 13","Median Time to Fibrinolysis","Number of Patients 10","Footnote 10"
"141335","MERCY HARVARD HOSPITAL","901 GRANT STREET","","","HARVARD","IL","60033","MCHENRY","8159435431","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","9","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","92","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"141336","ST JOSEPH'S HOSPITAL","1515 MAIN STREET","","","HIGHLAND","IL","62249","MADISON","6186547421","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"141338","MEMORIAL HOSPITAL","1900 STATE STREET","","","CHESTER","IL","62233","RANDOLPH","6188264581","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","4","48","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","48","","Not Available","0","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"141339","TAYLORVILLE MEMORIAL HOSPITAL","201 EAST PLEASANT STREET","","","TAYLORVILLE","IL","62568","CHRISTIAN","2178243331","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","Not Available","No data are available from the hospital for this measure","0","21","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","21","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"141340","VALLEY WEST COMMUNITY HOSPITAL","11 EAST PLEASANT AVENUE","","","SANDWICH","IL","60548","DEKALB","8157868484","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","8","29","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","29","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"141341","PANA COMMUNITY HOSPITAL","101 E NINTH STREET","","","PANA","IL","62557","CHRISTIAN","2175622131","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141342","UNION COUNTY HOSPITAL","517 NORTH MAIN STREET","","","ANNA","IL","62906","UNION","6188334511","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","9","43","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","95","40","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"141345","SALEM TOWNSHIP HOSPITAL","1201 RICKER DRIVE","","","SALEM","IL","62881","MARION","6185483194","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141347","CARLINVILLE AREA HOSPITAL","20733 N BROAD STREET","","","CARLINVILLE","IL","62626","MACOUPIN","2178543141","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"141348","RED BUD REGIONAL HOSPITAL","325 SPRING STREET","","","RED BUD","IL","62278","RANDOLPH","6182823831","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","3","72","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","66","","Not Available","0","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"141350","ST FRANCIS HOSPITAL","1215 FRANCISCAN DR","","","LITCHFIELD","IL","62056","MONTGOMERY","2173242191","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141351","CLAY COUNTY HOSPITAL","911 STACY BURK DRIVE","","","FLORA","IL","62839","CLAY","6186622131","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","20","69","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","72","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"150001","JOHNSON MEMORIAL HOSPITAL","1125 W JEFFERSON ST","","","FRANKLIN","IN","46131","JOHNSON","3177363300","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","4","56","","36","26","","100","40","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"150002","METHODIST HOSPITALS INC","600 GRANT ST","","","GARY","IN","46402","LAKE","2198864642","86","139","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","53","36","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","87","141","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","1501 HARTFORD ST","","","LAFAYETTE","IN","47904","TIPPECANOE","7655024334","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","2","72","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","71","","Not Available","0","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","","","HAMMOND","IN","46320","LAKE","2199322300","99","166","","Not Available","0","","97","31","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","97","162","","Not Available","Not Available","No data are available from the hospital for this measure"
"150005","HENDRICKS REGIONAL HEALTH","1000 E MAIN ST","","","DANVILLE","IN","46122","HENDRICKS","3177454451","99","72","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","4","193","","36","23","The number of cases is too small to reliably tell how well a hospital is performing","98","182","","Not Available","0","","94","65","","Not Available","0",""
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","","","LA PORTE","IN","46350","LA PORTE","2193261234","100","97","","Not Available","0","","100","15","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","92","","Not Available","Not Available","No data are available from the hospital for this measure"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","3500 S LAFOUNTAIN ST","","","KOKOMO","IN","46904","HOWARD","7654538371","99","114","","Not Available","0","","88","33","","6","19","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","94","17","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","110","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"150008","ST CATHERINE HOSPITAL INC","4321 FIR ST","","","EAST CHICAGO","IN","46312","LAKE","2193927004","100","57","","Not Available","0","","100","14","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","96","52","","Not Available","Not Available","No data are available from the hospital for this measure"
"150009","CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","","","JEFFERSONVILLE","IN","47130","CLARK","8122832142","99","186","","Not Available","0","","85","26","","14","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","92","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","97","172","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","1907 W SYCAMORE ST","","","KOKOMO","IN","46904","HOWARD","7654565300","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","10","119","","40","31","","97","118","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"150011","MARION GENERAL HOSPITAL","441 N WABASH AVE","","","MARION","IN","46952","GRANT","7656606000","95","22","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","7","149","","49","34","","97","145","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","96","24","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","","","MISHAWAKA","IN","46545","ST JOSEPH","5743355000","100","249","","Not Available","0","","95","41","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","243","","Not Available","Not Available","No data are available from the hospital for this measure"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","","","MICHIGAN CITY","IN","46360","LA PORTE","2198798511","100","108","","Not Available","0","","100","34","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","100","","Not Available","Not Available","No data are available from the hospital for this measure"
"150017","LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","","","FORT WAYNE","IN","46804","ALLEN","2604357001","100","507","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","41","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","488","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"150018","ELKHART GENERAL HOSPITAL","600 E BLVD","","","ELKHART","IN","46514","ELKHART","5742942621","100","262","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","53","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","259","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","","","FORT WAYNE","IN","46805","ALLEN","2603734000","100","664","","Not Available","0","","95","57","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","96","639","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","1710 LAFAYETTE RD","","","CRAWFORDSVILLE","IN","47933","MONTGOMERY","7653622800","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","8","106","","34","36","","100","108","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"150023","UNION HOSPITAL INC","1606 N SEVENTH ST","","","TERRE HAUTE","IN","47804","VIGO","8122387606","100","527","","Not Available","0","","78","67","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","99","451","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"150024","WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","","","INDIANAPOLIS","IN","46202","MARION","3176307592","97","245","","Not Available","0","","83","12","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","93","239","","Not Available","Not Available","No data are available from the hospital for this measure"
"150026","IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","","","GOSHEN","IN","46526","ELKHART","5743642141","100","76","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","20","The number of cases is too small to reliably tell how well a hospital is performing","5","25","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","24","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","75","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","1000 N 16TH ST","","","NEW CASTLE","IN","47362","HENRY","7655210890","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","1","137","","34","19","The number of cases is too small to reliably tell how well a hospital is performing","95","131","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"150034","ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","","","HOBART","IN","46342","LAKE","2199420551","96","96","","Not Available","0","","74","23","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","93","90","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"150035","PORTER REGIONAL HOSPITAL","85 EAST US HWY 6","","","VALPARAISO","IN","46383","PORTER","2199838300","100","195","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","39","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","196","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","","","GREENFIELD","IN","46140","HANCOCK","3174684412","100","29","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","4","53","","39","19","The number of cases is too small to reliably tell how well a hospital is performing","100","51","","Not Available","0","","93","29","","Not Available","0",""
"150038","INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC","2209 JOHN R WOODEN DR","","","MARTINSVILLE","IN","46151","MORGAN","7653496938","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","5","73","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","73","","Not Available","0","","Not Available","0","","Not Available","0",""
"150042","GOOD SAMARITAN HOSPITAL","520 S 7TH ST","","","VINCENNES","IN","47591","KNOX","8128825220","99","122","","Not Available","0","","97","29","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","96","117","","Not Available","Not Available","No data are available from the hospital for this measure"
"150044","FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","","","NEW ALBANY","IN","47150","FLOYD","8129495500","99","305","","Not Available","0","","91","53","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","97","278","","Not Available","Not Available","No data are available from the hospital for this measure"
"150045","DEKALB HEALTH","1316 E SEVENTH ST","","","AUBURN","IN","46706","DE KALB","2609254600","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","9","64","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","62","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"150046","TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","","","TERRE HAUTE","IN","47802","VIGO","8122320021","100","182","","Not Available","0","","95","19","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","99","159","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"150047","ST JOSEPH HOSPITAL","700 BROADWAY","","","FORT WAYNE","IN","46802","ALLEN","2604253000","100","121","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","16","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"150048","REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","","","RICHMOND","IN","47374","WAYNE","7659833000","99","398","","Not Available","0","","96","48","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","98","396","","Not Available","Not Available","No data are available from the hospital for this measure"
"150051","INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","601 W SECOND ST","","","BLOOMINGTON","IN","47403","MONROE","8123539555","100","307","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","72","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","304","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"150056","INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","","","INDIANAPOLIS","IN","46206","MARION","3179625900","100","536","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","90","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","539","","Not Available","Not Available","No data are available from the hospital for this measure"
