"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4"
"050547","SONOMA DEVELOPMENTAL CENTER","P O BOX 1493","","","ELDRIDGE","CA","95431","SONOMA","7079386393","Not Available","0","","Not Available","0",""
"470012","SOUTHWESTERN VERMONT MEDICAL CENTER","100 HOSPITAL DRIVE","","","BENNINGTON","VT","05201","BENNINGTON","8024426361","99","240","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","108","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"180080","BAPTIST REGIONAL MEDICAL CENTER","ONE TRILLIUM WAY","","","CORBIN","KY","40701","KNOX","6065281212","100","288","","98","166",""
"140143","ST MARGARETS HOSPITAL","600 E 1ST ST","","","SPRING VALLEY","IL","61362","BUREAU","8156641362","100","70","","100","45",""
"131301","BOUNDARY COMMUNITY HOSPITAL","6640 KANIKSU STREET","","","BONNERS FERRY","ID","83805","BOUNDARY","2082674850","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"280060","ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER","7500 MERCY RD","","","OMAHA","NE","68124","DOUGLAS","4023986060","99","113","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","80","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150017","LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","","","FORT WAYNE","IN","46804","ALLEN","2604357001","99","178","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","103","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"151303","ST VINCENT JENNINGS HOSPITAL INC","301 HENRY ST","","","NORTH VERNON","IN","47265","JENNINGS","8123524200","67","12","The number of cases is too small to reliably tell how well a hospital is performing","73","11","The number of cases is too small to reliably tell how well a hospital is performing"
"050308","EL CAMINO HOSPITAL","2500 GRANT ROAD","","","MOUNTAIN VIEW","CA","94040","SANTA CLARA","6509407000","93","299","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","146","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"370023","DUNCAN REGIONAL HOSPITAL, INC","1407 WHISENANT DRIVE","","","DUNCAN","OK","73533","STEPHENS","5802525300","99","141","","97","90",""
"140118","METROSOUTH MEDICAL CENTER","12935 S GREGORY","","","BLUE ISLAND","IL","60406","COOK","7085972000","100","200","","93","105",""
"351301","MOUNTRAIL COUNTY MEDICAL CENTER","615 6TH ST SE","","","STANLEY","ND","58784","MOUNTRAIL","7016282424","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"431322","FALL RIVER HOSPITAL - CRITICAL ACCESS HOSPITAL","1201 HIGHWAY 71 SOUTH","","","HOT SPRINGS","SD","57747","FALL RIVER","6057458910","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450591","ANGLETON-DANBURY MEDICAL CENTER","132 HOSPITAL DR","","","ANGLETON","TX","77515","BRAZORIA","9798497721","85","52","","80","40",""
"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","","","RENO","NV","89521","CARSON CITY","7759827056","100","131","","100","83",""
"330205","ST ANTHONY COMMUNITY HOSPITAL","15 - 19  MAPLE AVENUE","","","WARWICK","NY","10990","ORANGE","8459862276","100","91","","92","50",""
"451341","HASKELL MEMORIAL HOSPITAL","1 NORTH AVENUE N  PO BOX 1117","","","HASKELL","TX","79521","HASKELL","9408642621","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"050674","KAISER FOUNDATION HOSP SO SACRAMENTO","6600 BRUCEVILLE ROAD","","","SACRAMENTO","CA","95823","SACRAMENTO","9166882000","95","121","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","71","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"490033","WARREN MEMORIAL HOSPITAL","1000 NORTH SHENANDOAH AVE","","","FRONT ROYAL","VA","22630","WARREN","7036360300","98","123","","87","77",""
"150133","KOSCIUSKO COMMUNITY HOSPITAL","2101 E DUBOIS DR","","","WARSAW","IN","46580","KOSCIUSKO","5742673200","99","165","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","91","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"200034","ST MARYS REGIONAL MEDICAL CENTER","CAMPUS AVENUE - PO BOX 291","","","LEWISTON","ME","04240","ANDROSCOGGIN","2077778100","93","72","","96","53",""
"181331","MCDOWELL ARH HOSPITAL","9879 KENTUCKY ROUTE 122","","","MC DOWELL","KY","41647","FLOYD","6063773400","100","55","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","93","42","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"201312","WALDO COUNTY GENERAL HOSPITAL","118 NORTHPORT AVE","","","BELFAST","ME","04915","WALDO","2073382500","98","54","","100","46",""
"330273","PUTNAM HOSPITAL CENTER","670 STONELEIGH AVENUE","","","CARMEL","NY","10512","PUTNAM","9142795711","97","158","","96","109",""
"410005","ST JOSEPH HEALTH SERVICES OF RI","200 HIGH SERVICE AVENUE","","","NORTH PROVIDENCE","RI","02904","PROVIDENCE","4014563000","94","210","","93","111",""
"39009F","PHILADELPHIA VA MEDICAL CENTER","UNIVERSITY AND WOODLAND AVENU","","","PHILADELPHIA                  ","PA","19104","PHILADELPHIA","2158235857","92","65","","94","31",""
"531315","SOUTH LINCOLN MEDICAL CENTER - CAH","PO BOX 390","","","KEMMERER","WY","83101","LINCOLN","3078774401","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing"
"440029","WILLIAMSON MEDICAL CENTER","4321 CAROTHERS PARKWAY","","","FRANKLIN","TN","37067","WILLIAMSON","6154355000","99","182","","94","143",""
"330396","WOODHULL MEDICAL AND MENTAL HEALTH CENTER","760 BROADWAY","","","BROOKLYN","NY","11206","KINGS","7189638100","96","184","","93","90",""
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","","","LAS VEGAS","NV","89118","CLARK","7028533000","93","87","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","84","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"431306","PLATTE HEALTH CENTER - CRITICAL ACCESS HOSPITAL","601 E 7TH ST  PO BOX 200","","","PLATTE","SD","57369","CHARLES MIX","6053373364","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","86","21","The number of cases is too small to reliably tell how well a hospital is performing"
"440068","ATHENS REGIONAL MEDICAL CENTER","1114 W MADISON AVE","","","ATHENS","TN","37371","MCMINN","4237451411","98","119","","95","108",""
"261331","FREEMAN NEOSHO HOSPITAL","113 WEST HICKORY STREET","","","NEOSHO","MO","64850","NEWTON","4174511234","100","61","","97","62",""
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","","","LITTLE ROCK                   ","AR","72205","PULASKI","5012571000","100","215","","94","125",""
"151300","COMMUNITY HOSPITAL OF BREMEN INC","1020 HIGH RD","","","BREMEN","IN","46506","MARSHALL","5745462211","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"511317","PLATEAU MEDICAL CENTER","430 MAIN STREET","","","OAK HILL","WV","25901","FAYETTE","3044698600","97","110","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","79","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100254","CAPITAL REGIONAL MEDICAL CENTER","2626 CAPITAL MEDICAL BLVD","","","TALLAHASSEE","FL","32308","LEON","8506565000","100","186","","99","104",""
"310032","SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER","1505 W SHERMAN AVE","","","VINELAND","NJ","08360","CUMBERLAND","8566418000","98","154","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","66","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"141302","MIDWEST MEDICAL CENTER","ONE MEDICAL CENTER DRIVE","","","GALENA","IL","61036","JO DAVIESS","8157771340","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing"
"371326","INTEGRIS MARSHALL COUNTY MEDICAL CENTER","ONE HOSPITAL DRIVE","","","MADILL","OK","73446","MARSHALL","5807953384","95","73","","96","54",""
"450742","LAKE POINTE MEDICAL CENTER","6800 SCENIC DR","","","ROWLETT","TX","75088","DALLAS","9724122273","100","109","","100","70",""
"391312","BROOKVILLE HOSPITAL","100 HOSPITAL ROAD","","","BROOKVILLE","PA","15825","JEFFERSON","8148492312","96","52","","88","34",""
"100249","SEVEN RIVERS REGIONAL MEDICAL CENTER","6201 N SUNCOAST BLVD","","","CRYSTAL RIVER","FL","34428","CITRUS","3527956560","95","85","","98","58",""
"190005","CHARITY HOSPITAL & MEDICAL CENTER OF LOUISIANA AT","2021 PERDIDO ST  4FLOOR","","","NEW ORLEANS","LA","70112","ORLEANS","5049033000","91","122","","93","42",""
"390080","JEANES HOSPITAL","7600 CENTRAL AVE","","","PHILADELPHIA","PA","19111","PHILADELPHIA","2157282000","96","163","","95","111",""
"190002","LAFAYETTE GENERAL MEDICAL CENTER","1214 COOLIDGE AVENUE","","","LAFAYETTE","LA","70503","LAFAYETTE","3372897991","99","215","","97","118",""
"181310","CARROLL COUNTY MEMORIAL HOSPITAL","309 ELEVENTH STREET","","","CARROLLTON","KY","41008","CARROLL","5027324321","90","31","","93","28",""
"510007","ST MARY'S MEDICAL CENTER","2900 1ST AVENUE","","","HUNTINGTON","WV","25701","CABELL","3045261234","97","621","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","323","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"441316","CAMDEN GENERAL HOSPITAL","175 HOSPITAL DRIVE","","","CAMDEN","TN","38320","BENTON","7315846135","94","33","","89","19","The number of cases is too small to reliably tell how well a hospital is performing"
"370214","LINDSAY MUNICIPAL HOSPITAL","HIGHWAY 19 WEST","","","LINDSAY","OK","73052","GARVIN","4057561404","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"440073","MAURY REGIONAL HOSPITAL","1224 TROTWOOD AVE","","","COLUMBIA","TN","38401","MAURY","9313811111","98","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","58","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","","","TARBORO","NC","27886","EDGECOMBE","2526417700","99","120","","100","75",""
"310022","VIRTUA WEST JERSEY HOSPITALS BERLIN","WHITEHORSE PIKE AND TOWNSEND AVENUE","","","BERLIN","NJ","08009","CAMDEN","8563223200","99","827","","97","438",""
"251309","FIELD MEMORIAL COMMUNITY HOSPITAL","270 WEST MAIN STREET P O BOX 639","","","CENTREVILLE","MS","39631","WILKINSON","6016455221","100","13","The number of cases is too small to reliably tell how well a hospital is performing","100","14","The number of cases is too small to reliably tell how well a hospital is performing"
"180013","THE MEDICAL CENTER AT BOWLING GREEN","250 PARK STREET","","","BOWLING GREEN","KY","42101","WARREN","2707451000","97","231","","86","227",""
"260057","CAMERON REGIONAL MEDICAL CENTER","1600 E EVERGREEN","","","CAMERON","MO","64429","CLINTON","8166322101","97","75","","92","52",""
"220080","HOLY FAMILY HOSPITAL","70 EAST STREET","","","METHUEN","MA","01844","ESSEX","9786870156","98","125","","99","173",""
"05031F","PALO ALTO VA MEDICAL CENTER","3801 MIRANDA AVENUE","","","PALO ALTO                     ","CA","94304","SANTA CLARA","6508583939","98","101","","92","37",""
"180117","PARKWAY REGIONAL HOSPITAL","2000 HOLIDAY LANE","","","FULTON","KY","42041","FULTON","2704722522","100","45","","100","47",""
"281319","JEFFERSON COMMUNITY HEALTH CENTER","P O BOX 277, 2200 H ST","","","FAIRBURY","NE","68352","JEFFERSON","4027293351","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing"
"340064","WILKES REGIONAL MEDICAL CENTER","1370 WEST D ST","","","NORTH WILKESBORO","NC","28659","WILKES","3366518100","96","259","","98","131",""
"220077","BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET","","","SPRINGFIELD","MA","01199","HAMPDEN","4137940000","96","323","","97","242",""
"060004","PLATTE VALLEY MEDICAL CENTER","1600 PRAIRIE CENTER PARKWAY","","","BRIGHTON","CO","80601","ADAMS","3034981601","99","92","","97","64",""
"131303","ONEIDA COUNTY HOSPITAL","150 NORTH 200 WEST","","","MALAD CITY","ID","83252","ONEIDA","2087662231","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"390180","CROZER CHESTER MEDICAL CENTER","ONE MEDICAL CENTER BOULEVARD","","","UPLAND","PA","19013","DELAWARE","6104472000","97","435","","96","256",""
"391304","BUCKTAIL MEDICAL CENTER","1001 PINE STREET","","","RENOVO","PA","17764","CLINTON","5709231000","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"100132","SOUTH FLORIDA BAPTIST HOSPITAL","301 N ALEXANDER ST","","","PLANT CITY","FL","33563","HILLSBOROUGH","8137571200","99","182","","98","128",""
"240196","PHILLIPS EYE INSTITUTE","2215 PARK AVENUE SOUTH","","","MINNEAPOLIS","MN","55404","HENNEPIN","6127758815","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"251317","SIMPSON GENERAL HOSPITAL CAH","1842 SIMPSON HIGHWAY 149","","","MENDENHALL","MS","39114","SIMPSON","6018472221","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"371307","CIMARRON MEMORIAL HOSPITAL","100 SOUTH ELLIS","","","BOISE CITY","OK","73933","CIMARRON","5805442501","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"420048","KERSHAW HEALTH","HAILE AND ROBERTS STREETS, BOX 7003","","","CAMDEN","SC","29020","KERSHAW","8034324311","99","168","","94","163",""
"170014","RANSOM MEMORIAL HOSPITAL","1301 S MAIN STREET","","","OTTAWA","KS","66067","FRANKLIN","7852298308","97","74","","100","40",""
"190151","RICHARDSON MEDICAL CENTER","254 HIGHWAY 3048","","","RAYVILLE","LA","71269","RICHLAND","3187284181","97","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"390139","MAIN LINE HOSPITAL BRYN MAWR CAMPUS","130 SOUTH BRYN MAWR AVE","","","BRYN MAWR","PA","19010","DELAWARE","6105263000","99","234","","98","159",""
"241372","MADISON HOSPITAL","820 THIRD AVENUE","","","MADISON","MN","56256","LAC QUI PARLE","3205987536","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","13","15","The number of cases is too small to reliably tell how well a hospital is performing"
"100008","BAPTIST HOSPITAL OF MIAMI INC","8900 N KENDALL DR","","","MIAMI","FL","33176","MIAMI-DADE","7865961960","100","415","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","186","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450489","MEDICAL ARTS HOSPITAL","2200 N BRYAN AVE","","","LAMESA","TX","79331","DAWSON","8068722183","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","13","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"501328","MID VALLEY HOSPITAL","810 JASMINE STREET","","","OMAK","WA","98841","OKANOGAN","5098261760","88","24","The number of cases is too small to reliably tell how well a hospital is performing","85","20","The number of cases is too small to reliably tell how well a hospital is performing"
"171364","OSBORNE COUNTY MEMORIAL HOSPITAL","424 W NEW HAMPSHIRE","","","OSBORNE","KS","67473","OSBORNE","7853462121","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"301309","MONADNOCK COMMUNITY HOSPITAL","452 OLD STREET ROAD","","","PETERBOROUGH","NH","03458","HILLSBOROUGH","6039247191","98","84","","100","41",""
"500031","GRAYS HARBOR COMMUNITY HOSPITAL","915 ANDERSON DRIVE","","","ABERDEEN","WA","98520","GRAYS HARBOR","3605328330","91","154","","88","152",""
"320003","ALTA VISTA REGIONAL HOSPITAL","104 LEGION AVE","","","LAS VEGAS","NM","87701","SAN MIGUEL","5054263930","97","112","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","62","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"190064","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","5000 HENNESSY BLVD","","","BATON ROUGE","LA","70808","EAST BATON ROUGE","2257656565","95","132","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","85","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150084","ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","","","INDIANAPOLIS","IN","46260","MARION","3173387000","99","372","","96","182",""
"390204","NAZARETH HOSPITAL","2601 HOLME AVE","","","PHILADELPHIA","PA","19152","PHILADELPHIA","2153356000","97","265","","94","122",""
"310092","CAPITAL HEALTH SYSTEM-FULD CAMPUS","750 BRUNSWICK AVE","","","TRENTON","NJ","08638","MERCER","6093946000","99","147","","98","82",""
"060114","PARKER ADVENTIST HOSPITAL","9395 CROWN CREST BLVD","","","PARKER","CO","80138","DOUGLAS","3032694000","98","133","","98","119",""
"151320","JAY COUNTY HOSPITAL","500 W VOTAW ST","","","PORTLAND","IN","47371","JAY","2607267131","94","47","","88","50",""
"360179","BETHESDA NORTH","10500 MONTGOMERY ROAD","","","CINCINNATI","OH","45242","HAMILTON","5135696141","98","679","","97","362",""
"150045","DEKALB HEALTH","1316 E SEVENTH ST","","","AUBURN","IN","46706","DE KALB","2609254600","98","109","","98","90",""
"450747","PALESTINE REGIONAL MEDICAL CENTER","2900 S LOOP 256","","","PALESTINE","TX","75801","ANDERSON","9037311000","99","140","","96","90",""
"150149","WOMEN'S HOSPITAL THE","4199 GATEWAY BLVD","","","NEWBURGH","IN","47630","WARRICK","8128424200","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"080007","BEEBE MEDICAL CENTER","424 SAVANNAH RD","","","LEWES","DE","19958","SUSSEX","3026453300","100","212","","100","180",""
"230099","MERCY MEMORIAL HOSPITAL SYSTEM","718 N MACOMB ST","","","MONROE","MI","48162","MONROE","7342408400","100","285","","97","203",""
"390147","MONONGAHELA VALLEY HOSPITAL","1163 COUNTRY CLUB ROAD","","","MONONGAHELA","PA","15063","WASHINGTON","7242581000","95","204","","96","157",""
"190001","WASHINGTON ST TAMMANY  REGIONAL MEDICAL CENTER","433 PLAZA ST","","","BOGALUSA","LA","70427","WASHINGTON","9857306700","98","81","","96","57",""
"260065","MERCY HOSPITAL SPRINGFIELD","1235 E CHEROKEE","","","SPRINGFIELD","MO","65804","GREENE","4178202000","99","153","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","71","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"670002","SOUTH HAMPTON COMMUNITY HOSPITAL","2929  SOUTH HAMPTON ROAD","","","DALLAS","TX","75224","DALLAS","2146234400","83","24","The number of cases is too small to reliably tell how well a hospital is performing","67","15","The number of cases is too small to reliably tell how well a hospital is performing"
"100102","SHANDS LAKE SHORE REGIONAL MEDICAL CENTER","368 NE FRANKLIN ST","","","LAKE CITY","FL","32055","COLUMBIA","3867548000","98","84","","89","55",""
"370056","COMANCHE COUNTY MEMORIAL HOSPITAL","3401 WEST GORE BOULVARD","","","LAWTON","OK","73505","COMANCHE","5803558620","92","196","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","136","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330385","NORTH CENTRAL BRONX HOSPITAL","3424 KOSSUTH AVENUE & 210TH STREET","","","BRONX","NY","10467","BRONX","2125195000","94","90","","97","58",""
"440012","WELLMONT BRISTOL REGIONAL MEDICAL CENTER","ONE MEDICAL PARK BLVD","","","BRISTOL","TN","37620","SULLIVAN","4238441121","99","121","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","74","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"361315","HARDIN MEMORIAL HOSPITAL","921 EAST FRANKLIN STREET","","","KENTON","OH","43326","HARDIN","4196730761","97","59","","98","46",""
"440040","PERRY COMMUNITY HOSPITAL","2718 SQUIRREL HOLLOW DRIVE","","","LINDEN","TN","37096","PERRY","9315892121","64","11","The number of cases is too small to reliably tell how well a hospital is performing","51","39","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"670049","NORTH CENTRAL SURGICAL CENTER LLP","9301 NORTH CENTRAL EXPRESSWAY SUITE 100","","","DALLAS","TX","75231","DALLAS","2142652810","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"171381","MEMORIAL HOSPITAL","511 NE 10TH ST","","","ABILENE","KS","67410","DICKINSON","7852636610","87","23","The number of cases is too small to reliably tell how well a hospital is performing","78","18","The number of cases is too small to reliably tell how well a hospital is performing"
"070035","HOSPITAL OF CENTRAL CONNECTICUT, THE","100 GRAND STREET","","","NEW BRITAIN","CT","06050","HARTFORD","8602245011","99","230","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","137","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250162","HANCOCK MEDICAL CENTER","149 DRINKWATER BLVD","","","BAY SAINT LOUIS","MS","39521","HANCOCK","2284678600","100","66","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","56","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"181305","SAINT JOSEPH MARTIN","11203 MAIN STREET","","","MARTIN","KY","41649","FLOYD","6062855181","96","52","","100","37",""
"351300","TIOGA MEDICAL CENTER","810 N WELO ST","","","TIOGA","ND","58852","WILLIAMS","7016643305","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"460007","VALLEY VIEW MEDICAL CENTER","1303 NORTH MAIN STREET","","","CEDAR CITY","UT","84721","IRON","4358685800","99","81","","97","63",""
"261304","ADVANCED HEALTHCARE MEDICAL CENTER","ROUTE 4, BOX 4269","","","ELLINGTON","MO","63638","REYNOLDS","5736632511","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","94","18","The number of cases is too small to reliably tell how well a hospital is performing"
"060014","PRESBYTERIAN/ST LUKE'S MEDICAL CENTER","1719 E 19TH AVE","","","DENVER","CO","80218","DENVER","3038396100","100","117","","95","42",""
"20003F","TOGUS VA MEDICAL CENTER","1 VA CENTER","","","AUGUSTA                       ","ME","04330","BETHEL","2076238411","96","46","","81","32",""
"270003","ST PETER'S HOSPITAL","2475 BROADWAY","","","HELENA","MT","59601","LEWIS AND CLARK","4064422480","99","119","","97","62",""
"400003","HOSPITAL METROPOLITANO DR PILA","2435 LAS AMERICAS AVE","","","PONCE","PR","00733","PONCE","7878485600","86","57","","36","11","The number of cases is too small to reliably tell how well a hospital is performing"
"521339","GOOD SAMARITAN HLTH CTR","601 S CENTER AVE","","","MERRILL","WI","54452","LINCOLN","7155365511","100","21","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"390110","CONEMAUGH VALLEY MEMORIAL HOSPITAL","1086 FRANKLIN STREET","","","JOHNSTOWN","PA","15905","CAMBRIA","8145349000","99","434","","95","248",""
"370113","INTEGRIS GROVE HOSPITAL","1001 EAST 18TH STREET","","","GROVE","OK","74344","DELAWARE","9187862243","98","139","","95","84",""
"491306","PIONEER HEALTH SERVICES OF PATRICK COUNTY,INC","18688 JEB STUART HIGHWAY","","","STUART","VA","24171","PATRICK","2766943151","92","26","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","78","32","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"300014","FRISBIE MEMORIAL HOSPITAL","11 WHITEHALL ROAD","","","ROCHESTER","NH","03867","STRAFFORD","6033325211","95","151","","94","125",""
"431334","WINNER REGIONAL HEALTHCARE CENTER - CAH","745 EAST 8TH STREET","","","WINNER","SD","57580","TRIPP","6058427100","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"301306","FRANKLIN REGIONAL HOSPITAL","15 AIKEN AVENUE","","","FRANKLIN","NH","03235","MERRIMACK","6039342060","100","45","","91","23","The number of cases is too small to reliably tell how well a hospital is performing"
"110107","MEDICAL CENTER OF CENTRAL GEORGIA","777 HEMLOCK STREET","","","MACON","GA","31201","BIBB","4786336805","97","104","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","58","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"110039","TRINITY HOSPITAL OF AUGUSTA","2260 WRIGHTSBORO RD","","","AUGUSTA","GA","30904","RICHMOND","7064817000","98","65","","98","43",""
"451309","MCCAMEY HOSPITAL","2500 HWY 305 SOUTH","","","MCCAMEY","TX","79752","UPTON","4326528626","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"490027","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","310 THIRD STREET NE","","","NORTON","VA","24273","NORTON CITY","2766799174","99","89","","89","53",""
"241349","PAYNESVILLE AREA HOSPITAL","200 1ST STREET WEST","","","PAYNESVILLE","MN","56362","STEARNS","3202433767","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","11","The number of cases is too small to reliably tell how well a hospital is performing"
"460049","THE ORTHOPEDIC SPECIALTY HOSPITAL","5848 SOUTH 300 EAST","","","MURRAY","UT","84107","SALT LAKE","8013144100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"140034","ST MARYS HOSPITAL","400 NORTH PLEASANT AVENUE","","","CENTRALIA","IL","62801","MARION","6184368000","100","143","","97","73",""
"200052","NORTHERN MAINE MEDICAL CENTER","194 E MAIN STREET","","","FORT KENT","ME","04743","AROOSTOOK","2078343195","92","61","","94","32",""
